model,test_set,selection_metric,budget,acc,acc_hat,failures,rmse,retrain_acc,acc_improvement
lenet5,mnist_c,gini,100,0.9207,0.35,65,0.5707,0.9557575757575758,0.02929292929292937
lenet5,mnist_c,gini,150,0.9207,0.38666666666666666,92,0.5340333333333334,0.9519796954314721,0.023147208121827467
lenet5,mnist_c,gini,200,0.9207,0.405,119,0.5156999999999999,0.953469387755102,0.022244897959183718
lenet5,mnist_c,dat,50,0.9207,0.88,6,0.04069999999999996,0.9533668341708542,0.03246231155778889
lenet5,mnist_c,dat,100,0.9207,0.87,13,0.05069999999999997,0.9557575757575758,0.034545454545454546
lenet5,mnist_c,dat,150,0.9207,0.88,18,0.04069999999999996,0.9495431472081218,0.028223350253807067
lenet5,mnist_c,dat,200,0.9207,0.865,27,0.05569999999999997,0.9496938775510204,0.027857142857142914
lenet5,mnist_c,gd,50,0.9207,0.9,5,0.02069999999999994,0.9494472361809045,0.02864321608040199
lenet5,mnist_c,gd,100,0.9207,0.9,10,0.02069999999999994,0.9453535353535354,0.02444444444444449
lenet5,mnist_c,gd,150,0.9207,0.9133333333333333,13,0.0073666666666666325,0.9556345177664974,0.03482233502538068
lenet5,mnist_c,gd,200,0.9207,0.935,13,0.01430000000000009,0.9521477400265279,0.031731455973880274
lenet5,mnist_c,kmnc,50,0.9207,0.92,4,0.0006999999999999229,0.947035175879397,0.02633165829145734
lenet5,mnist_c,kmnc,100,0.9207,0.92,8,0.0006999999999999229,0.9517171717171717,0.031010101010101043
lenet5,mnist_c,kmnc,150,0.9207,0.9733333333333334,4,0.05263333333333342,0.9553299492385787,0.03543147208121833
lenet5,mnist_c,kmnc,200,0.9207,0.965,7,0.044300000000000006,0.9507142857142857,0.030918367346938758
lenet5,mnist_c,nac,50,0.9207,0.94,3,0.019299999999999984,0.9520603015075377,0.031457286432160836
lenet5,mnist_c,nac,100,0.9207,0.93,7,0.009300000000000086,0.9412121212121212,0.020606060606060517
lenet5,mnist_c,nac,150,0.9207,0.9466666666666667,8,0.025966666666666693,0.9463959390862944,0.026091370558375626
lenet5,mnist_c,nac,200,0.9207,0.955,9,0.0343,0.9430612244897959,0.023061224489795862
lenet5,mnist_c,lsa,50,0.9207,0.96,2,0.0393,0.9434170854271356,0.022914572864321525
lenet5,mnist_c,lsa,100,0.9207,0.93,7,0.009300000000000086,0.9405050505050505,0.01989898989898986
lenet5,mnist_c,lsa,150,0.9207,0.9133333333333333,13,0.0073666666666666325,0.9455837563451777,0.024771573604060904
lenet5,mnist_c,lsa,200,0.9207,0.905,19,0.015699999999999936,0.943469387755102,0.02244897959183667
lenet5,mnist_c,dsa,50,0.9207,0.0,50,0.9207,0.9369849246231156,0.011658291457286363
lenet5,mnist_c,dsa,100,0.9207,0.03,97,0.8906999999999999,0.94,0.010303030303030258
lenet5,mnist_c,dsa,150,0.9207,0.08666666666666667,137,0.8340333333333333,0.9451776649746193,0.011776649746192858
lenet5,mnist_c,dsa,200,0.9207,0.12,176,0.8007,0.948469387755102,0.011428571428571455
lenet5,mnist_c,std,50,0.9207,0.94,3,0.019299999999999984,0.9562814070351758,0.03567839195979894
lenet5,mnist_c,std,100,0.9207,0.93,7,0.009300000000000086,0.953030303030303,0.032424242424242355
lenet5,mnist_c,std,150,0.9207,0.9133333333333333,13,0.0073666666666666325,0.940113682501015,0.019285424279334107
lenet5,mnist_c,std,200,0.9207,0.935,13,0.01430000000000009,0.9461334421546623,0.025709038971638454
lenet5,mnist_c,pace,50,0.9207,0.94,3,0.019299999999999984,0.9500502512562814,0.0294472361809045
lenet5,mnist_c,pace,100,0.9207,0.95,5,0.029299999999999993,0.9512121212121212,0.03080808080808073
lenet5,mnist_c,pace,150,0.9207,0.9266666666666666,11,0.005966666666666676,0.9440609137055838,0.02345177664974618
lenet5,mnist_c,pace,200,0.9207,0.945,11,0.02429999999999999,0.9570408163265306,0.03683673469387749
lenet5,mnist_adv,dr,50,0.5006,0.52,24,0.019399999999999973,0.5330653266331659,0.032562814070351775
lenet5,mnist_adv,dr,100,0.5006,0.57,43,0.0693999999999999,0.5755555555555556,0.0756565656565657
lenet5,mnist_adv,dr,150,0.5006,0.5,75,0.0006000000000000449,0.623756345177665,0.12314720812182745
lenet5,mnist_adv,dr,200,0.5006,0.52,96,0.019399999999999973,0.6607142857142857,0.16051020408163263
lenet5,mnist_adv,ces,50,0.5006,0.64,18,0.13939999999999997,0.675175879396985,0.1752763819095478
lenet5,mnist_adv,ces,100,0.5006,0.75,25,0.24939999999999996,0.7065656565656566,0.20848484848484855
lenet5,mnist_adv,ces,150,0.5006,0.72,42,0.21939999999999993,0.7174619289340102,0.2202030456852792
lenet5,mnist_adv,ces,200,0.5006,0.78,44,0.2794,0.7406122448979592,0.24571428571428572
lenet5,mnist_adv,mcp,50,0.5006,0.12,44,0.38060000000000005,0.7396984924623116,0.23718592964824126
lenet5,mnist_adv,mcp,100,0.5006,0.16,84,0.3406,0.7422222222222222,0.23818181818181816
lenet5,mnist_adv,mcp,150,0.5006,0.14,129,0.36060000000000003,0.7510659898477158,0.24497461928934017
lenet5,mnist_adv,mcp,200,0.5006,0.155,169,0.3456,0.7846938775510204,0.27704081632653055
lenet5,mnist_adv,est,50,0.5006,0.12,44,0.38060000000000005,0.8057286432160804,0.3032160804020101
lenet5,mnist_adv,est,100,0.5006,0.09,91,0.4106000000000001,0.8306060606060606,0.32585858585858585
lenet5,mnist_adv,est,150,0.5006,0.2,120,0.30060000000000003,0.8722842639593908,0.3671065989847716
lenet5,mnist_adv,est,200,0.5006,0.135,173,0.36560000000000004,0.8771428571428571,0.36908163265306115
lenet5,mnist_adv,rnd,50,0.5006,0.46,27,0.040600000000000025,0.8721608040201005,0.37135678391959803
lenet5,mnist_adv,rnd,100,0.5006,0.55,45,0.0494,0.8759595959595959,0.3758585858585859
lenet5,mnist_adv,rnd,150,0.5006,0.4666666666666667,80,0.03393333333333337,0.8971573604060914,0.39604060913705585
