Number of Clusters,Silhouette Score,DBCV Score,Combined Score,Number of Mispredicted Inputs,Number of Noisy Inputs,test_set,selection_metric,budget,model,threshold,Config
26,0.5140806436538696,0.412451810025339,0.4632662268396043,138,12,udacity,ent,200,dave2v1,0.131,
3,0.16170534491539001,,,8,1,udacity,gini,50,dave2v1,0.131,
4,0.11179745942354202,0.11828169420907872,0.11503957681631037,16,4,udacity,gini,100,dave2v1,0.131,
7,0.3183264136314392,0.22289380594099933,0.27061010978621924,22,4,udacity,gini,150,dave2v1,0.131,
7,0.27461332082748413,0.17450370436249088,0.2245585125949875,23,6,udacity,gini,200,dave2v1,0.131,
5,0.12147869169712067,0.04391957836472113,0.0826991350309209,25,0,udacity,gd,50,dave2v1,0.131,
10,0.28378593921661377,0.09645884450025287,0.19012239185843333,48,7,udacity,gd,100,dave2v1,0.131,
17,0.3345109820365906,0.19624509178951507,0.26537803691305284,68,4,udacity,gd,150,dave2v1,0.131,
23,0.3683721125125885,0.23842163234868688,0.3033968724306377,91,8,udacity,gd,200,dave2v1,0.131,
10,0.3127710223197937,0.21433236472117226,0.26355169352048297,36,3,udacity,kmnc,50,dave2v1,0.131,
14,0.440958708524704,0.35902817719771596,0.39999344286120997,68,4,udacity,kmnc,100,dave2v1,0.131,
14,0.4264630079269409,0.2611325726224845,0.3437977902747127,102,2,udacity,kmnc,150,dave2v1,0.131,
19,0.4358775019645691,0.3426754839201242,0.3892764929423467,137,3,udacity,kmnc,200,dave2v1,0.131,
11,0.27154165506362915,0.23145477570013526,0.2514982153818822,39,6,udacity,nac,50,dave2v1,0.131,
13,0.41153082251548767,0.2663593191456732,0.33894507083058045,71,8,udacity,nac,100,dave2v1,0.131,
17,0.5617399215698242,0.4807589179478814,0.5212494197588529,109,2,udacity,nac,150,dave2v1,0.131,
23,0.4764787256717682,0.35144209464223497,0.4139604101570016,143,14,udacity,nac,200,dave2v1,0.131,
7,0.3401889204978943,0.2540659887551868,0.29712745462654055,29,2,udacity,lsa,50,dave2v1,0.131,
15,0.3004399538040161,0.2403965402576554,0.2704182470308357,69,9,udacity,lsa,100,dave2v1,0.131,
18,0.4473589360713959,0.32308773611697095,0.3852233360941834,110,10,udacity,lsa,150,dave2v1,0.131,
18,0.606189489364624,0.5063776141582865,0.5562835517614553,145,0,udacity,lsa,200,dave2v1,0.131,
4,0.16013981401920319,0.3268102958932329,0.24347505495621805,16,4,udacity,std,50,dave2v1,0.131,
11,0.1472312957048416,0.05422357544761496,0.10072743557622829,48,20,udacity,std,100,dave2v1,0.131,
15,0.3253119885921478,0.2087390857833101,0.267025537187729,57,9,udacity,std,150,dave2v1,0.131,
8,-0.05081463232636452,0.016356509770948578,-0.01722906127770797,90,2,udacity,std,200,dave2v1,0.131,
7,0.20639929175376892,0.11425995534204475,0.16032962354790684,19,4,udacity,pace,50,dave2v1,0.131,
13,0.3008491098880768,0.15736590322965935,0.22910750655886808,47,10,udacity,pace,100,dave2v1,0.131,
10,0.04297139123082161,0.13030822495197694,0.08663980809139928,66,2,udacity,pace,150,dave2v1,0.131,
19,0.3195306956768036,0.23176398815739568,0.2756473419170996,88,13,udacity,pace,200,dave2v1,0.131,
2,0.13561363518238068,-0.005124620992214453,0.06524450709508312,9,5,udacity,dr,50,dave2v1,0.175,
7,0.2943372428417206,0.23639090897388998,0.2653640759078053,26,4,udacity,dr,100,dave2v1,0.175,
9,0.4193364381790161,0.3245535441031014,0.3719449911410587,36,0,udacity,dr,150,dave2v1,0.175,
13,0.30488088726997375,0.25023857986903064,0.2775597335695022,51,6,udacity,dr,200,dave2v1,0.175,
4,0.14311373233795166,0.044645945763845285,0.09387983905089847,22,10,udacity,ces,50,dave2v1,0.175,
